name,code,from_date,to_date,discount_type,status,descripsion
"割引0","00000","2023-05-01","2023-05-31",0,0,"説明"
"割引1","00001","2023-05-01","2023-05-31",1,0,"説明"
"割引2","00002","2023-05-01","2023-05-31",2,0,"説明"
"割引3","00003","2023-05-01","2023-05-31",3,0,"説明"
"割引4","00004","2023-05-01","2023-05-31",4,0,"説明"
"割引5","00005","2023-05-01","2023-05-31",5,0,"説明"
"割引6","00006","2023-05-01","2023-05-31",6,0,"説明"
"割引7","00007","2023-05-01","2023-05-31",7,0,"説明"
"割引8","00008","2023-05-01","2023-05-31",8,0,"説明"
"割引9","00009","2023-05-01","2023-05-31",9,0,"説明"
